order_id,customer_name,order_type,status,priority,created_date,due_date,assigned_to,product,value_aud,last_updated,delay_reason,notes
SV-2026-007,Wesfarmers Chemicals,Service Order,Open,Medium,2026-05-25,2026-06-25,James Okafor,EXDC200 Preventive Maintenance,7200,2026-06-01,,Booking confirmed and parts pre-ordered from warehouse
SO-2026-008,Pilbara Minerals,Sales Order,Blocked,Medium,2026-04-18,2026-05-30,Michael Torres,GXS750 Dry Screw Pump,55000,2026-05-22,Awaiting export compliance clearance,Malaysia HQ processing export permit for restricted equipment
SV-2026-008,BlueScope Steel,Service Order,Blocked,High,2026-04-25,2026-05-28,Sarah Chen,COBRA 160 Screw Vacuum Pump Repair,19500,2026-05-20,Credit hold - customer account under review,Finance team flagged overdue invoices on customer account
SO-2026-009,Treasury Wine Estates,Sales Order,In Progress,Low,2026-05-12,2026-06-28,Amy Nguyen,nXDS15i Scroll Pump x4,14400,2026-05-28,,Pump configuration customisation in progress
SV-2026-009,South32 Ltd,Service Order,Escalated,High,2026-04-30,2026-05-18,James Okafor,GXS250 Emergency Breakdown Service,8800,2026-05-15,Subcontractor scheduling conflict,Third-party crane operator unavailable - escalated to operations director
SO-2026-010,Origin Energy Ltd,Sales Order,At Risk,High,2026-05-03,2026-05-25,Michael Torres,Edwards nEXT600 Turbomolecular Pump,72000,2026-05-19,Internal discount approval pending,Sales manager approval required before order can be processed
SV-2026-010,Beach Energy Ltd,Service Order,In Progress,Medium,2026-05-14,2026-06-18,David Park,GVS150 Rotary Vane Pump Full Service,5400,2026-06-01,,Technician on site - service in progress
SO-2026-011,Nufarm Limited,Sales Order,Open,Low,2026-05-22,2026-07-30,Amy Nguyen,EXDC300 Dry Claw Pump,31000,2026-05-29,,New customer order - account setup completed
SV-2026-011,Ramsay Health Care,Service Order,Completed,Medium,2026-03-15,2026-04-15,James Okafor,nXDS6i Scroll Pump Service x2,3800,2026-04-14,,Routine service completed ahead of schedule
SO-2026-012,OZ Minerals,Sales Order,Escalated,High,2026-04-08,2026-05-18,Michael Torres,STP-iX255 Compound Turbo Pump x3,63000,2026-05-10,Missing technical documentation from customer,Site specs required for system configuration - 3 weeks outstanding
SV-2026-012,Bega Cheese Ltd,Service Order,In Progress,Low,2026-05-18,2026-06-06,David Park,GVS250 Preventive Maintenance,4100,2026-05-30,,Parts received and service scheduled for next week
SO-2026-013,Lion Pty Ltd,Sales Order,Open,Medium,2026-05-28,2026-07-10,Amy Nguyen,GXS160 Dry Screw Pump,16800,2026-06-01,,Purchase order confirmed and entered into system
SV-2026-013,Woodside Energy Ltd,Service Order,At Risk,High,2026-05-05,2026-06-05,James Okafor,Leybold TURBO 350 Annual Service,11200,2026-05-22,Waiting on HSSE documentation approval,Offshore platform safety documentation 10 days overdue from customer
SO-2026-014,Alcoa Australia,Sales Order,Completed,Medium,2026-03-20,2026-04-25,Michael Torres,EXDC200 Dry Claw Pump x2,41600,2026-04-24,,Order delivered and installation confirmed by customer
SV-2026-014,CSL Limited,Service Order,Open,High,2026-05-27,2026-06-20,David Park,STP-iX455 Scheduled Overhaul,24500,2026-06-01,,Critical pharmaceutical equipment - priority scheduling required
SO-2026-015,Fortescue Metals Group,Sales Order,In Progress,High,2026-04-25,2026-06-04,Amy Nguyen,GXS750 Dry Screw Pump System,83000,2026-05-31,,Final QA checks in progress before dispatch
SV-2026-015,Origin Energy Ltd,Service Order,Blocked,Medium,2026-05-06,2026-06-12,James Okafor,COBRA 280 Screw Pump Service,13700,2026-05-25,Customer requested rescheduling,Awaiting site operations team to confirm revised booking date
SO-2026-016,Rio Tinto Minerals,Sales Order,Open,Medium,2026-05-30,2026-07-20,Michael Torres,nEXT240 Turbomolecular Pump x2,33600,2026-06-01,,Repeat order from existing customer - expedited processing
SV-2026-016,BHP Operations Pty Ltd,Service Order,At Risk,High,2026-05-10,2026-06-07,Sarah Chen,GXS450 Emergency Inspection,9200,2026-05-28,Technician availability limited,Only certified technician available has workload conflict with other BHP order
SO-2026-017,Santos Ltd,Sales Order,Completed,Low,2026-03-10,2026-04-20,Amy Nguyen,nXDS10i Scroll Pump,7600,2026-04-18,,Delivered and signed off by customer ahead of schedule
SV-2026-017,South32 Ltd,Service Order,Open,Medium,2026-05-29,2026-06-30,David Park,GXS160 Dry Screw Pump Inspection,5800,2026-06-01,,Initial inspection quote approved - technician assigned
SO-2026-018,Pilbara Minerals,Sales Order,In Progress,High,2026-05-17,2026-06-16,Michael Torres,Edwards nEXT300 Turbomolecular Pump x2,90000,2026-05-31,,Largest active order - weekly customer liaison calls scheduled
